NPDESID_PFID,NPDES_ID,PERMITTING_STATE,AGENCY_TYPE_CODE,FACILITY_UIN,FACILITY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_ADDRESS_TEXT,FACILITY_CITY,COUNTY_CODE,STATE_CODE,EPA_REGION_CODE,FACILITY_TYPE_CODE,FACILITY_LAT,FACILITY_LON,PERMIT_NAME,VERSION_NMBR,PERMIT_TYPE_CODE,EFFECTIVE_DATE,EXPIRATION_DATE,PERMIT_STATUS_CODE,FACILITY_TYPE_INDICATOR,MAJOR_MINOR_STATUS_FLAG,PERMIT_TRACKING,PT_START_DATE,DMR_TRACKING,DMR_NR_START_DATE,PERMIT_DESIGN_FLOW,PERMIT_AVG_FLOW,PERM_FEATURE_NMBR,PERM_FEATURE_TEXT,PF_LAT,PF_LON,PF_CHARACTER,PERM_FEATURE_TYPE_CODE,PF_STATE_WATERBODY_NAME,PF_STATE_AUTO_NAME,PF_REACH_ID,IN_ICIS,ECHO_DFR_LINK
CA0037664022,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,22,,37.777222,-122.3894,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664023,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,23,,37.775555,-122.3914,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664024,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,24,,37.773888,-122.3939,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664025,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,25,Equivalent-to-Primary-Treated Effluent (Wet Weather),37.771944,-122.396111,TCS,EXO,Mission Creek Central Drainage Basin,San Francisco Bay Estuaries,1.805E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664026,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,26,,37.770279,-122.3975,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664027,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,27,,37.771389,-122.395,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664028,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,28,,37.775002,-122.3911,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664029,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,29,Equivalent-to-Primary-Treated Effluent (Wet Weather),37.764722,-122.385278,TCS,EXO,Central Basin Central Drainage Basin,San Francisco Bay Estuaries,1.805E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664030,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,30,,37.761112,-122.38,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664030A,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,030A,,37.757778,-122.3803,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664031,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,31,,37.747776,-122.3861,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664031A,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,031A,Equivalent-to-Primary-Treated Effluent (Wet Weather),37.747778,-122.3875,TCS,EXO,Islais Creek Central Drainage Basin,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664032,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,32,,37.748611,-122.3908,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664033,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,33,,37.747776,-122.3908,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
