"","FACILITY_NAME","LOCATION_ADDRESS","FACILITY_CITY","STATE_CODE","PERMIT_DESIGN_FLOW","PERMIT_AVG_FLOW","SF","SN_C","geometry"
"1880","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.439588, 39.073216)
"1881","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.440467, 39.097319)
"1882","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.44042, 39.075013)
"1883","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.439078, 39.087055)
"1884","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.477346, 39.115305)
"1885","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.467694, 39.118056)
"1886","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.48429, 39.109485)
"1887","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.483822, 39.110195)
"1888","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.484915, 39.108959)
"1889","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.485842, 39.107491)
"1890","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.486833, 39.106153)
"1891","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.488676, 39.103714)
"1892","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.495027, 39.097547)
"1893","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.479007, 39.094216)
"1894","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.488758, 39.101485)
"1895","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.497751, 39.077734)
"1896","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.496056, 39.096611)
"1897","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.503625, 39.088868)
"1898","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.523639, 39.089111)
"1899","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.500068, 39.094163)
"1900","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.493991, 39.049433)
"1901","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.492583, 39.048361)
"1902","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.496956, 39.053826)
"1903","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.495955, 39.052274)
"1904","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.49612, 39.063108)
"1905","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.498133, 39.058517)
"1906","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.494208, 39.072361)
"1907","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.493914, 39.071442)
"1908","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.494683, 39.069849)
"1909","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.494739, 39.067566)
"1910","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.49516, 39.06597)
"1911","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.497181, 39.075385)
"1912","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.495377, 39.073539)
"1913","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.499858, 39.079125)
"1914","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.499091, 39.07797)
"1915","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.498634, 39.077302)
"1916","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.504684, 39.085541)
"1917","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.503372, 39.083225)
"1918","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.502601, 39.082346)
"1919","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.502153, 39.081793)
"1920","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.501722, 39.081194)
"1921","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.500686, 39.080308)
"1922","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.515114, 39.089765)
"1923","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.510417, 39.090968)
"1924","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.509154, 39.091071)
"1925","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.507115, 39.09146)
"1926","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.520025, 39.08935)
"1927","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.517597, 39.089436)
"1928","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.531473, 39.091928)
"1929","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.529541, 39.090754)
"1930","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.53867, 39.095513)
"1931","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.555211, 39.093156)
"1932","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.551274, 39.09593)
"1933","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.550061, 39.096119)
"1934","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.547591, 39.096706)
"1935","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.543748, 39.096798)
"1936","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.559775, 39.086956)
"1937","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.56425, 39.08315)
"1938","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.560073, 39.085299)
"1939","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.505193, 39.036099)
"1940","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.495966, 39.033783)
"1941","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.49409, 39.033712)
"1942","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.485778, 39.04)
"1943","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.487045, 39.038211)
"1944","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.492045, 39.100174)
"1945","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.397126, 39.0362)
"1946","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.447444, 39.109722)
"1947","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.482556, 39.111472)
"1948","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.483387, 39.110769)
"1949","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.473226, 39.099851)
"1950","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.477944, 39.099267)
"1951","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.479241, 39.0991)
"1952","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.479798, 39.098777)
"1953","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.476971, 39.093311)
"1954","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.482249, 39.096297)
"1955","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.480389, 39.095028)
"1956","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.486577, 39.0975)
"1957","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.501272, 39.082142)
"1958","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.500218, 39.080968)
"1959","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.504905, 39.089531)
"1960","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.498443, 39.0582)
"1961","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.497462, 39.060179)
"1962","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.518843, 39.045596)
"1963","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.527008, 39.089547)
"1964","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.498158, 39.078481)
"1965","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,"Kentucky",1,c(-84.557496, 39.081137)
"1966","NORTHERN KY SANITATION DISTRICT 1- DRY CREEK","2999 AMSTERDAM RD","ERLANGER","KY",46.5,46.5,NA,NA,c(-84.480178, 39.094898)
"1967","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.624602, 38.476262)
"1968","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.610021, 38.462385)
"1969","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.614155, 38.469287)
"1970","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.634964, 38.480308)
"1971","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.63888, 38.481919)
"1972","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.644296, 38.484467)
"1973","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.652964, 38.481497)
"1974","ASHLAND STP","2600 RIVERFRONT DR","ASHLAND","KY",11,6.33,"Kentucky",1,c(-82.667536, 38.476333)
"1975","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.823333, 38.220833)
"1976","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.695, 38.237222)
"1977","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.711111, 38.215278)
"1978","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.803056, 38.276944)
"1979","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.731389, 38.256667)
"1980","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.756667, 38.256389)
"1981","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.715, 38.256389)
"1982","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.761944, 38.246389)
"1983","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.763333, 38.246389)
"1984","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.762222, 38.244444)
"1985","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.765556, 38.245)
"1986","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.766944, 38.245)
"1987","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.7625, 38.242222)
"1988","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.759167, 38.241944)
"1989","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.757778, 38.244167)
"1990","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.758611, 38.244167)
"1991","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.755, 38.246111)
"1992","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.756667, 38.245833)
"1993","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.76, 38.246111)
"1994","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.745278, 38.258333)
"1995","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.769722, 38.259167)
"1996","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.768056, 38.258056)
"1997","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.783056, 38.258333)
"1998","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.813056, 38.2575)
"1999","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.761389, 38.2575)
"2000","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.759722, 38.2575)
"2001","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.758056, 38.256944)
"2002","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.751667, 38.255833)
"2003","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.745833, 38.255556)
"2004","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.731389, 38.258611)
"2005","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.736111, 38.240833)
"2006","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.723611, 38.251111)
"2007","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.719167, 38.260833)
"2008","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.727778, 38.251944)
"2009","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.735278, 38.244444)
"2010","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.735556, 38.243889)
"2011","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.718889, 38.251667)
"2012","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.720556, 38.258333)
"2013","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.718056, 38.260278)
"2014","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.7325, 38.236667)
"2015","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.731667, 38.235)
"2016","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.7225, 38.255833)
"2017","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.724444, 38.223056)
"2018","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.829167, 38.250556)
"2019","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.828611, 38.250556)
"2020","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.723889, 38.223056)
"2021","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.703611, 38.215278)
"2022","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.714722, 38.218611)
"2023","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.7275, 38.225278)
"2024","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.727222, 38.225556)
"2025","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.729444, 38.230833)
"2026","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.739167, 38.238333)
"2027","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.736389, 38.244444)
"2028","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.735278, 38.244722)
"2029","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.732222, 38.248056)
"2030","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.731111, 38.249722)
"2031","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.688333, 38.233889)
"2032","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.700278, 38.248333)
"2033","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.702778, 38.248611)
"2034","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.704722, 38.245833)
"2035","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.726111, 38.256111)
"2036","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.72, 38.258056)
"2037","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.711667, 38.260278)
"2038","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.721944, 38.223056)
"2039","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.720278, 38.252222)
"2040","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.731111, 38.248889)
"2041","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.739722, 38.235278)
"2042","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.730278, 38.234722)
"2043","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.709722, 38.250833)
"2044","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,NA,NA,c(-85.719444, 38.2625)
"2045","MORRIS FORMAN WQTC MSD","4522 ALGONQUIN PKWY","LOUISVILLE","KY",120,90.06,"Kentucky",1,c(-85.737222, 38.236389)
