"","FACILITY_NAME","LOCATION_ADDRESS","FACILITY_CITY","STATE_CODE","PERMIT_DESIGN_FLOW","PERMIT_AVG_FLOW","SF","SN_C","geometry"
"37","OCEANSIDE WPCP","3500 GREAT HIGHWAY","SAN FRANCISCO","CA",43,NA,NA,NA,c(-122.48787, 37.78942)
"38","OCEANSIDE WPCP","3500 GREAT HIGHWAY","SAN FRANCISCO","CA",43,NA,NA,NA,c(-122.487, 37.78947)
"39","OCEANSIDE WPCP","3500 GREAT HIGHWAY","SAN FRANCISCO","CA",43,NA,NA,NA,c(-122.504444, 37.715278)
"40","SACRAMENTO COMBINED WWCTS","1395 35TH AVE","SACRAMENTO","CA",380,NA,NA,NA,c(-121.523889, 38.519167)
"41","SACRAMENTO COMBINED WWCTS","1395 35TH AVE","SACRAMENTO","CA",380,NA,NA,NA,c(-121.523611, 38.523056)
"42","SACRAMENTO COMBINED WWCTS","1395 35TH AVE","SACRAMENTO","CA",380,NA,"California",1,c(-121.510278, 38.547778)
"43","SACRAMENTO COMBINED WWCTS","1395 35TH AVE","SACRAMENTO","CA",380,NA,"California",1,c(-121.510278, 38.5475)
"44","SACRAMENTO COMBINED WWCTS","1395 35TH AVE","SACRAMENTO","CA",380,NA,"California",1,c(-121.513333, 38.571667)
"45","SACRAMENTO COMBINED WWCTS","1395 35TH AVE","SACRAMENTO","CA",380,NA,"California",1,c(-121.513056, 38.571944)
"46","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.18674, 41.194101)
"47","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.220611, 41.154126)
"48","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.207852, 41.164252)
"49","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.186163, 41.176273)
"50","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.186163, 41.176273)
"51","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.18735, 41.178218)
"52","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.187457, 41.179618)
"53","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.188051, 41.180768)
"54","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.185985, 41.184322)
"55","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.185985, 41.184322)
"56","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.192822, 41.190489)
"57","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.192933, 41.191341)
"58","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.190012, 41.189913)
"59","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.192718, 41.189907)
"60","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.191727, 41.185603)
"61","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.190444, 41.182267)
"62","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.203413, 41.166017)
"63","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.217028, 41.162899)
"64","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.218689, 41.168002)
"65","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.218383, 41.173649)
"66","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.200426, 41.196762)
"67","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,NA,NA,c(-73.540018, 41.04481)
"68","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.187931, 41.170374)
"69","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.188371, 41.18322)
"70","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.204335, 41.202982)
"71","BRIDGEPORT WESTSIDE WPCA","205 BOSTWICK AVENUE","BRIDGEPORT","CT",30,NA,"Connecticut",1,c(-73.187141, 41.177156)
"72","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.709575, 41.792594)
"73","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.70756, 41.786608)
"74","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.704787, 41.771452)
"75","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.703333, 41.773264)
